building_name,exterior_image_url,interior_image_url,geopoint,latitude,longitude,altitude,new_bld_id,submission_uuid,meta_root_uuid
Millennium hall (LH 15),https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708473604/attachments/attoLhd7V4CPMoR5xKuSYDY8/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708473604/attachments/atti5oKGUZ5gGV2nu9C5Jg55/,-0.00398 34.604361 1530 33.56800079345703,-0.00398,34.604361,1530,500,379a66ee-eb34-41e9-b007-10d1fdb31b4a,uuid:379a66ee-eb34-41e9-b007-10d1fdb31b4a
Millennium hall,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708476908/attachments/attFEz4MUbLmj5YLk5FvTeeh/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708476908/attachments/attiA6MzEyPyS42eFmmXv76g/,-0.005093 34.603811 1520.9000244140625 30,-0.005093,34.603811,1520.900024,501,cc2fb93e-8570-4bb9-8908-58412863ae07,uuid:cc2fb93e-8570-4bb9-8908-58412863ae07
MLH 5,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708479290/attachments/attbyFuoiMXb5QQLoehhAdSb/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708479290/attachments/attLiKTox6w5EkYBe6DuPPj5/,-0.004452 34.603861 1524.0999755859375 56.099998474121094,-0.004452,34.603861,1524.099976,505,169ae3a5-e5af-4dc4-a170-5592048bf947,uuid:169ae3a5-e5af-4dc4-a170-5592048bf947
MLH 4,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708481178/attachments/attNDomE9gzNpKUFEmtydwBM/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708481178/attachments/attMEHg26TvR4xdMmojXizLW/,-0.004679 34.604449 1548.005 1.7790000438690186,-0.004679,34.604449,1548.005,503,c2e78492-584a-4cac-ac9d-5939acc40e51,uuid:c2e78492-584a-4cac-ac9d-5939acc40e51
MLH 3,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708482873/attachments/attkjQpzfNPNkCfBewb4qgSD/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708482873/attachments/attvzhGn8XVsNmNvALyt4qsC/,-0.004743 34.604488 1524.699951171875 0.9470000267028809,-0.004743,34.604488,1524.699951,504,2402817c-ddb4-436b-8efd-fcfd8ae4834a,uuid:2402817c-ddb4-436b-8efd-fcfd8ae4834a
MLH 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708486055/attachments/attqAnjySHQPhxtrYrMnYJwo/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708486055/attachments/attM6uY4Pcv7vm5W76EYWVeZ/,-0.004604 34.60459 1527.0999755859375 1.2079999446868896,-0.004604,34.60459,1527.099976,505,9c611208-81ce-4076-8354-3dc198dea504,uuid:9c611208-81ce-4076-8354-3dc198dea504
Millennium hall (LH 15),https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708505865/attachments/attDxaBMfDPH4aniJb2Laig5/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708505865/attachments/attQ6EzZaVDZye2tYj3MJezJ/,-0.004299 34.604215 1524.0999755859375 1.9450000524520874,-0.004299,34.604215,1524.099976,1,7ba112c1-9d28-47c6-9fdb-43e3b6749f81,uuid:7ba112c1-9d28-47c6-9fdb-43e3b6749f81
Prof George Magoha tuition complex,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708515096/attachments/attH6pogYvCmAwAG3AKHRUrB/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708515096/attachments/attLPWma3XgLMdy9AbHCUnjt/,-0.005795 34.603518 1519 82.5,-0.005795,34.603518,1519,101,93507110-7b01-45cc-9f95-7ca5abb33102,uuid:93507110-7b01-45cc-9f95-7ca5abb33102
Amphitheater west wing,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708526022/attachments/attkAHbGWBtwEy8K8XBnP9TD/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708526022/attachments/attjfCDdV5HvCj4H9vDAJdT9/,-0.005868 34.602974 1519 5.085999965667725,-0.005868,34.602974,1519,102,6eb3d525-6fc9-48a6-bede-f9547acd8fcd,uuid:6eb3d525-6fc9-48a6-bede-f9547acd8fcd
Department of communication and media,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708526382/attachments/attFWsXcQuSAQ7B9uBXkJZK7/,,-0.004134 34.604267 1529 1.9290000200271606,-0.004134,34.604267,1529,2,cf53f6e2-2e5e-4c61-aae8-5b735774e8a8,uuid:cf53f6e2-2e5e-4c61-aae8-5b735774e8a8
School of arts and social sciences,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708528418/attachments/attdB3cMWDGKXfhBPHGuX6e5/,,-0.004 34.604388 1529 0.7540000081062317,-0.004,34.604388,1529,3,a2c0eb50-1ac3-476b-8ea4-e7a72e1a5586,uuid:a2c0eb50-1ac3-476b-8ea4-e7a72e1a5586
Amphitheater south wing,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708529427/attachments/attwsmYJJmFwqRpb3APaeUDe/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708529427/attachments/attRNYxtvPidKjyuKFMPYeZW/,-0.006533 34.602936 1516.5999755859375 9.428999900817871,-0.006533,34.602936,1516.599976,103,c9e15bba-5600-4d02-9d38-0ff7d5225d9b,uuid:c9e15bba-5600-4d02-9d38-0ff7d5225d9b
Amphitheater east wing,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708531258/attachments/attT7Ue93jZf8CwjbWYTv8jc/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708531258/attachments/attYZULLxgP4a8dt645MC7gz/,-0.006209 34.603482 1518.5999755859375 20,-0.006209,34.603482,1518.599976,104,d8897617-7aaa-49a7-9165-d9475ea57715,uuid:d8897617-7aaa-49a7-9165-d9475ea57715
Millennium,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708531635/attachments/att6PJkQmAwdFXSfgZhnmiUu/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708531635/attachments/attCjYbbCRBpquSPa7yjq3Un/,-0.004278 34.604187 1524.0999755859375 2.052000045776367,-0.004278,34.604187,1524.099976,4,cc5133e1-615c-41ab-8528-8f42186032e5,uuid:cc5133e1-615c-41ab-8528-8f42186032e5
MLH 5,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708532980/attachments/attYHyPN8RCynD7nsmagicBo/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708532980/attachments/attRj9gmDzkdKUCtpKDGZzwh/,-0.004662 34.604033 1524.0999755859375 3.6449999809265137,-0.004662,34.604033,1524.099976,5,8ad59dd5-ac30-44da-8441-e1dfe1057ef5,uuid:8ad59dd5-ac30-44da-8441-e1dfe1057ef5
MLH 4,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708533776/attachments/atthJzR5EAaRzquJat8R2RKq/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708533776/attachments/atta87Vrp8io5LYWXGKz3AHT/,-0.004439 34.604306 1519.5 3.621999979019165,-0.004439,34.604306,1519.5,6,9305706a-8f0d-4578-b098-a0964f1e979f,uuid:9305706a-8f0d-4578-b098-a0964f1e979f
University library,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708534216/attachments/attY78LgVSpenAD9qUmAjxd7/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708534216/attachments/att7YW9DZX8kANgDxfnifAii/,-0.004773 34.60379 1520.9000244140625 43.11000061035156,-0.004773,34.60379,1520.900024,105,e5d3286b-ae2e-49f5-bd13-c46c8ce84fe0,uuid:e5d3286b-ae2e-49f5-bd13-c46c8ce84fe0
MLH 3,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708535500/attachments/att3CjHLGghLYMpanzqPECVq/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708535500/attachments/att3NGenHGfgafLSNjGyXfm8/,-0.004563 34.604609 1527.0999755859375 1.468000054359436,-0.004563,34.604609,1527.099976,7,57de52d3-9116-4b1c-aafc-ca218998a844,uuid:57de52d3-9116-4b1c-aafc-ca218998a844
MLH 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708536703/attachments/attHUXcwAQa9GhEn6g72pkQA/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708536703/attachments/attc2KvcpKfQ3JiiTSdcMyTA/,-0.004743 34.604653 1527.0999755859375 1.4149999618530273,-0.004743,34.604653,1527.099976,8,97061a42-1911-4551-a832-71ce8ecfe786,uuid:97061a42-1911-4551-a832-71ce8ecfe786
Toilet,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708537369/attachments/attxNcfif3wcox9w2udcehKa/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708537369/attachments/atteHePKNUXeiaand7fMpGrQ/,-0.004452 34.603862 1524.0999755859375 52.400001525878906,-0.004452,34.603862,1524.099976,106,9f1d64a2-4f11-4116-8f1d-a1a78efe694e,uuid:9f1d64a2-4f11-4116-8f1d-a1a78efe694e
Department of agriculture,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708538527/attachments/attXPvtHGGGUikvupBdGijKL/,,-0.004672 34.604749 1527.0999755859375 1.0089999437332153,-0.004672,34.604749,1527.099976,9,889fce59-db1a-49e9-9c2f-73c263d30d6f,uuid:889fce59-db1a-49e9-9c2f-73c263d30d6f
Geography department,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708540855/attachments/attr7qYkG8G8BPoggttXKajW/,,-0.004501 34.604908 1527.0999755859375 1.2829999923706055,-0.004501,34.604908,1527.099976,10,39ff018e-3955-4bd7-9c24-e128e7c73b0b,uuid:39ff018e-3955-4bd7-9c24-e128e7c73b0b
Temporary store,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708540896/attachments/attFVGUCSfiKHVrVMQQA6695/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708540896/attachments/attoLoFFTKky6PA6kBnrRcwB/,-0.00446 34.603836 1524.0999755859375 92.9000015258789,-0.00446,34.603836,1524.099976,107,b394bc55-a1c4-4a40-82c3-1332a1f1de7a,uuid:b394bc55-a1c4-4a40-82c3-1332a1f1de7a
ICT department,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708542157/attachments/attAcDmAehKX9QczMs7rA6zR/,,-0.004521 34.60535 1528 2.430999994277954,-0.004521,34.60535,1528,11,1203b06a-a88a-4c3a-8262-e1761fb9a207,uuid:1203b06a-a88a-4c3a-8262-e1761fb9a207
Millennium 57,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708547790/attachments/attTTNCn5uVr7CbjduGvArUc/,,-0.004222 34.605071 1528.300048828125 16.329999923706055,-0.004222,34.605071,1528.300049,12,b4f12e36-ec92-4d83-a381-cdfbe85c83a5,uuid:b4f12e36-ec92-4d83-a381-cdfbe85c83a5
Department of sociology and anthropology,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708549969/attachments/attYQNmmWVXYbC9WrqscAoBK/,,-0.004144 34.604456 1528.300048828125 4.189000129699707,-0.004144,34.604456,1528.300049,13,fd2c2b7e-628e-40f9-a8ce-3f2330ecf3bc,uuid:fd2c2b7e-628e-40f9-a8ce-3f2330ecf3bc
Boadroom,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708550930/attachments/att4GVUUfoHjjFWiTHHVirun/,,-0.004727 34.605459 1528.4000244140625 2.1470000743865967,-0.004727,34.605459,1528.400024,14,183067ca-42ef-4edf-89dd-63107601f821,uuid:183067ca-42ef-4edf-89dd-63107601f821
Generator,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708554290/attachments/att5CV7RHnf7FjE7dstn4zbv/,,-0.00572 34.606688 1517.699951171875 92.9000015258789,-0.00572,34.606688,1517.699951,15,5a243c73-b46c-4646-a01c-34205170e11a,uuid:5a243c73-b46c-4646-a01c-34205170e11a
